id;actsArr;stageID;id-name;name;date;start_time;end_time;type;status;tags;description;ticket;url
412;131;10;;;30.05.2026;30.05.2026 14:00;30.05.2026 20:00;Performance;;;Toc de Fusta auf dem D[ue][sz]eldorfer Platz;;
413;132;10;;;30.05.2026;30.05.2026 14:00;30.05.2026 19:00;spezial;;;Siebdruck mit Spangeltangel auf dem D[ue][sz]eldorfer Platz;;
414;133;10;;;30.05.2026;30.05.2026 15:00;30.05.2026 15:30;Walkact;;;Walkact Last Minute auf dem D[ue][sz]eldorfer Platz;;
415;133;10;;;30.05.2026;30.05.2026 17:30;30.05.2026 18:00;Walkact;;;Walkact Last Minute auf dem D[ue][sz]eldorfer Platz;;
416;133;10;;;30.05.2026;30.05.2026 20:00;30.05.2026 20:30;Walkact;;;Walkact Last Minute auf dem D[ue][sz]eldorfer Platz;;
417;123;1;;;31.05.2026;31.05.2026 13:00;31.05.2026 13:30;Performance;;;Duo flexoncirc auf der B[ue]hne Melone;;
418;127;1;;;31.05.2026;31.05.2026 14:00;31.05.2026 14:30;Performance;;;This Maag auf der B[ue]hne Melone;;
419;114;1;;;31.05.2026;31.05.2026 15:00;31.05.2026 15:30;Performance;;;Duo Lolly Pop auf der B[ue]hne Melone;;
420;119;1;;;31.05.2026;31.05.2026 16:00;31.05.2026 16:30;Performance;;;Zinzi & Evertjan auf der B[ue]hne Melone;;
421;113;1;;;31.05.2026;31.05.2026 17:00;31.05.2026 17:30;Performance;;;Anna Ki auf der B[ue]hne Melone;;
422;116;2;;;31.05.2026;31.05.2026 13:30;31.05.2026 14:00;Performance;;;Marcos Luis Masetti auf der B[ue]hne Glockenhut;;
423;119;2;;;31.05.2026;31.05.2026 14:30;31.05.2026 15:00;Performance;;;Zinzi & Evertjan auf der B[ue]hne Glockenhut;;
424;111;2;;;31.05.2026;31.05.2026 15:30;31.05.2026 16:00;Performance;;;Marc Freudenberg auf der B[ue]hne Glockenhut;;
425;117;2;;;31.05.2026;31.05.2026 16:30;31.05.2026 17:00;Performance;;;Kuutenkidou auf der B[ue]hne Glockenhut;;
